Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,BB_Mid,BB_Upper,BB_Lower,Daily_Return
2019-07-31,1857.1575927734375,1862.2094791602149,1807.8595603367787,1828.5723767472791,3000677,1792.3935180664062,1824.6383129882813,65.47762345871307,-6.080097904998183,1792.3935180664062,1864.2610529202966,1720.5259832125157,0.012183457214160587
2019-08-01,1835.560546875,1867.0926912358327,1823.9411690595819,1852.358025126869,2375236,1789.9780883789062,1826.6560815429686,60.46370254512424,-2.9725004241158786,1789.9780883789062,1851.38680373937,1728.5693730184425,-0.011629086288894253
2019-08-02,1856.82080078125,1860.778070497555,1823.3099147793916,1829.6247724847,2500816,1791.966864013672,1829.5606884765625,59.05009505548966,1.1920762662375637,1791.966864013672,1859.3520167768734,1724.5817112504706,0.011582431286423667
2019-08-05,1893.2789306640625,1896.3520796929208,1848.653928899727,1852.2742834613493,3039682,1795.2619384765626,1833.295283203125,69.50748936352508,7.34967718219491,1795.2619384765626,1875.2115013992313,1715.3123755538938,0.019634705657903595
2019-08-06,1864.9039306640625,1896.0993727776097,1861.9991368653807,1879.975516293214,2885467,1798.9043823242187,1836.3432275390626,62.585354587771725,9.8267186156977,1798.9043823242187,1884.6654395238893,1713.143325124548,-0.01498722641467709
2019-08-07,1863.6834716796875,1884.7751444057997,1858.4632287199915,1877.6183033392597,2165362,1803.5421447753906,1839.0567724609375,71.81313787734487,11.558076644723315,1803.5421447753906,1892.8901256660874,1714.1941638846938,-0.0006544353112819534
2019-08-08,1901.2779541015625,1920.5592426159385,1868.27212445677,1876.6919370065987,2073298,1810.2969177246093,1841.9589111328125,74.36452625626426,15.78182781057967,1810.2969177246093,1907.8064841908458,1712.7873512583728,0.020172139203441075
2019-08-09,1891.3001708984375,1909.528980693727,1887.174545460432,1902.8774117887451,1744550,1816.3406982421875,1844.01572265625,69.44244146239006,18.115236157248546,1816.3406982421875,1918.3259658810402,1714.3554306033348,-0.005247935043690144
2019-08-13,1851.895263671875,1891.3000197192857,1847.5591432915583,1890.247543358841,1647281,1818.8140014648438,1844.4469873046876,61.01541467483506,16.593552249445565,1818.8140014648438,1921.773347672017,1715.8546552576706,-0.02083482454709651
2019-08-14,1856.063232421875,1867.3880437511996,1824.9099287374602,1836.4452353619495,1945002,1822.9565368652343,1844.1991528320314,64.00307618926865,15.54473698265474,1822.9565368652343,1924.8520216275483,1721.0610521029203,0.002250650364392648
2019-08-16,1822.9732666015625,1887.2162567260389,1804.5758983029345,1887.2162567260389,3755507,1824.9709777832031,1843.9817016601562,54.739986477449484,11.906212226908792,1824.9709777832031,1925.09172208157,1724.8502334848363,-0.017828037990459622
2019-08-19,1821.2052001953125,1840.570766355503,1816.7426590547345,1835.5188795311055,974884,1829.0567016601562,1844.0144946289063,57.180817396459204,8.778790528581567,1829.0567016601562,1920.8094823228848,1737.3039209974277,-0.0009698806003590743
2019-08-20,1841.2027587890625,1856.5689187743833,1824.1526360656244,1828.7835335954471,1843611,1833.67919921875,1844.1843188476562,57.497715845424516,7.823735005706112,1833.67919921875,1917.3573825524172,1750.0010158850828,0.010980398360165733
2019-08-21,1840.739501953125,1854.0428477862124,1837.4137168853142,1839.6870253138277,1214408,1836.891375732422,1843.5090551757812,51.06869547903727,6.949357797102721,1836.891375732422,1916.142139690122,1757.640611774722,-0.00025160555171133137
2019-08-22,1865.8302001953125,1882.3750473179919,1827.0990678807889,1841.4127472144173,2131601,1841.2507385253907,1842.9777514648438,51.546109069827565,8.186646649601244,1841.2507385253907,1916.5015359883505,1765.999941062431,0.013630770793784164
2019-08-23,1892.521240234375,1902.7933705116204,1864.0622324852156,1864.9463539220976,2826425,1847.603497314453,1842.8441967773438,59.97352203903383,11.191937159379904,1847.603497314453,1917.1523269628833,1778.0546676660229,0.0143051817021016
2019-08-26,1916.601806640625,1921.4010582680205,1873.4081308704408,1891.9317168835419,2345475,1853.8509887695313,1843.306484375,60.36497505934623,15.339922917005651,1853.8509887695313,1924.6739849397968,1783.0279925992659,0.012724066654738131
2019-08-27,1883.0908203125,1915.3808792682667,1876.7759617601441,1911.2971885130225,3432106,1859.2164978027345,1843.0918383789062,48.21532204433629,15.741714297323597,1859.2164978027345,1920.7918249345412,1797.6411706709277,-0.01748458454542645
2019-08-28,1885.406494140625,1896.2679699261275,1865.8304302849729,1886.0379800714527,1294621,1863.8158264160156,1843.0125463867187,53.95232557428109,16.061841475630217,1863.8158264160156,1917.9955941674623,1809.636058664569,0.0012297196731811955
2019-08-29,1880.522705078125,1892.9419266887764,1871.050417408984,1871.050417408984,1670652,1866.1017944335938,1842.8078540039062,53.200927976046,15.740022428284647,1866.1017944335938,1918.9695680518241,1813.2340208153635,-0.0025903109370194466
2019-08-30,1902.54052734375,1907.929124021833,1867.5140322508498,1886.8795970577794,2583625,1868.3709411621094,1842.8914819335937,50.25510644521759,17.064918997243012,1868.3709411621094,1923.470963208441,1813.2709191157778,0.01170835226087319
2019-09-03,1895.8045654296875,1933.356795952519,1883.4694200287781,1911.2969341247554,2545060,1871.3831420898437,1842.5371313476562,50.92220673825724,17.37112967211715,1871.3831420898437,1925.5090648971031,1817.2572192825842,-0.003540509028455263
2019-09-04,1890.58447265625,1911.2972920547847,1880.1439881754777,1907.0873861251487,2228092,1873.0713256835938,1842.5504736328126,59.210249483608564,16.99665907167764,1873.0713256835938,1927.3906616863587,1818.751989680829,-0.0027534973111821293
2019-09-05,1865.240478515625,1897.5303252839344,1858.504630775262,1887.8896843178918,2055943,1871.6694030761719,1841.626025390625,51.984617236551166,14.4878331818054,1871.6694030761719,1925.234849285927,1818.1039568664166,-0.013405375166874678
2019-09-06,1850.2535400390625,1880.5648608315112,1846.127914711477,1865.8301910018486,1890550,1870.9368835449218,1840.5311987304688,56.40062138840899,11.161586088398735,1870.9368835449218,1925.2868348967238,1816.5869321931198,-0.00803485590688513
2019-09-09,1837.9185791015625,1854.7582015848009,1835.350495560509,1852.3584731562203,1703945,1869.6486389160157,1839.41814453125,53.736113324441206,7.444368990705016,1869.6486389160157,1925.9102678274166,1813.3870100046147,-0.006666632799545713
2019-09-11,1813.6270751953125,1848.1482962180644,1807.3543578535318,1840.57046721307,2627440,1865.266094970703,1837.8469848632812,43.9518331380642,2.5093995114923473,1865.266094970703,1924.7186499790264,1805.8135399623798,-0.013216855296236507
2019-09-12,1796.451171875,1822.889299349851,1785.2949209667388,1814.469487343616,2118859,1860.5236450195312,1836.3581958007812,40.94974201987809,-2.755784242918253,1860.5236450195312,1926.0535237994127,1794.9937662396496,-0.009470471385889967
2019-09-13,1803.4815673828125,1816.9532664121657,1781.2533462091055,1797.6298392293002,2291174,1858.102960205078,1834.8025268554688,36.24377042857728,-6.2886939901334244,1858.102960205078,1928.3797650456029,1787.8261553645532,0.003913491008205261
2019-09-16,1810.259521484375,1829.9617987027834,1790.3886835819621,1818.637193041208,2597948,1855.8127746582031,1833.1715771484376,30.10181062279281,-8.444285698623162,1855.8127746582031,1929.2822445949378,1782.3433047214685,0.0037582608129445028
2019-09-17,1787.23095703125,1815.7742373799645,1772.8753448715668,1814.426985502787,2796530,1854.0256591796874,1831.322822265625,18.54656139113753,-11.873944905824828,1854.0256591796874,1932.4315277780747,1775.6197905813,-0.012721139803337222
